Fr436,Fr436_WIT_ED_CRIT_P
Fr437,Fr437_WIT_ED_CRIT_P
Fr438,Fr438_WIT_ED_CRIT_P
Fr439,Fr439_WIT_ED_CRIT_P
Fr440,Fr440_WIT_ED_CRIT_P
Fr441,Fr441_WIT_ED_CRIT_P
Fr442,Fr442_WIT_ED_CRIT_P
Fr443,Fr443_WIT_ED_CRIT_P
Fr444,Fr444_WIT_ED_CRIT_P
Fr445,Fr445_WIT_ED_CRIT_P
Fr446,Fr446_WIT_ED_CRIT_P
Fr447,Fr447_WIT_ED_CRIT_P
Fr448,Fr448_WIT_ED_CRIT_P
Fr449,Fr449_WIT_ED_CRIT_P
Fr450,Fr450_WIT_ED_CRIT_P
Fr451,Fr451_WIT_ED_CRIT_P
Fr452,Fr452_WIT_ED_CRIT_P
Fr453,Fr453_WIT_ED_CRIT_P
Fr454,Fr454_WIT_ED_CRIT_P
Fr455,Fr455_WIT_ED_CRIT_P
Fr456,Fr456_WIT_ED_CRIT_P
Fr457,Fr457_WIT_ED_CRIT_P
Fr458,Fr458_WIT_ED_CRIT_P
Fr459,Fr459_WIT_ED_CRIT_P
Fr460,Fr460_WIT_ED_CRIT_P
Fr461,Fr461_WIT_ED_CRIT_P
Fr462,Fr462_WIT_ED_CRIT_P
Fr463,Fr463_WIT_ED_CRIT_P
Fr464,Fr464_WIT_ED_CRIT_P
Fr465,Fr465_WIT_ED_CRIT_P
Fr466,Fr466_WIT_ED_CRIT_P
Fr467,Fr467_WIT_ED_CRIT_P
Fr468,Fr468_WIT_ED_CRIT_P
Fr469,Fr469_WIT_ED_CRIT_P
Fr470,Fr470_WIT_ED_CRIT_P
Fr471,Fr471_WIT_ED_CRIT_P
Fr472,Fr472_WIT_ED_CRIT_P
Fr473,Fr473_WIT_ED_CRIT_P
Fr474,Fr474_WIT_ED_CRIT_P
Fr475,Fr475_WIT_ED_CRIT_P
Fr476,Fr476_WIT_ED_CRIT_P
Fr477,Fr477_WIT_ED_CRIT_P
Fr478,Fr478_WIT_ED_CRIT_P
Fr479,Fr479_WIT_ED_CRIT_P
Fr480,Fr480_WIT_ED_CRIT_P
Fr481,Fr481_WIT_ED_CRIT_P
Fr482,Fr482_WIT_ED_CRIT_P
Fr483,Fr483_WIT_ED_CRIT_P
Fr484,Fr484_WIT_ED_CRIT_P
Fr485,Fr485_WIT_ED_CRIT_P
Fr486,Fr486_WIT_ED_CRIT_P
Fr487,Fr487_WIT_ED_CRIT_P
Fr488,Fr488_WIT_ED_CRIT_P
Fr489,Fr489_WIT_ED_CRIT_P
Fr490,Fr490_WIT_ED_CRIT_P
Fr491,Fr491_WIT_ED_CRIT_P
Fr492,Fr492_WIT_ED_CRIT_P
Fr493,Fr493_WIT_ED_CRIT_P
Fr494,Fr494_WIT_ED_CRIT_P
Fr495,Fr495_WIT_ED_CRIT_P
Fr496,Fr496_WIT_ED_CRIT_P
Fr497,Fr497_WIT_ED_CRIT_P
Fr498,Fr498_WIT_ED_CRIT_P
Fr499,Fr499_WIT_ED_CRIT_P
Fr500,Fr500_WIT_ED_CRIT_P
Fr501,Fr501_WIT_ED_CRIT_P
Fr502,Fr502_WIT_ED_CRIT_P
Fr503,Fr503_WIT_ED_CRIT_P
Fr504,Fr504_WIT_ED_CRIT_P
Fr505,Fr505_WIT_ED_CRIT_P
Fr506,Fr506_WIT_ED_CRIT_P
Fr507,Fr507_WIT_ED_CRIT_P
Fr508,Fr508_WIT_ED_CRIT_P
Fr509,Fr509_WIT_ED_CRIT_P
Fr510,Fr510_WIT_ED_CRIT_P
Fr511,Fr511_WIT_ED_CRIT_P
Fr512,Fr512_WIT_ED_CRIT_P
Fr513,Fr513_WIT_ED_CRIT_P
Fr514,Fr514_WIT_ED_CRIT_P
Fr515,Fr515_WIT_ED_CRIT_P
Fr516,Fr516_WIT_ED_CRIT_P
Fr517,Fr517_WIT_ED_CRIT_P
Fr518,Fr518_WIT_ED_CRIT_P
Fr519,Fr519_WIT_ED_CRIT_P
Fr520,Fr520_WIT_ED_CRIT_P
Fr521,Fr521_WIT_ED_CRIT_P
Fr522,Fr522_WIT_ED_CRIT_P
Fr523,Fr523_WIT_ED_CRIT_P
Fr524,Fr524_WIT_ED_CRIT_P
Fr525,Fr525_WIT_ED_CRIT_P
Fr526,Fr526_WIT_ED_CRIT_P
Fr527,Fr527_WIT_ED_CRIT_P
Fr528,Fr528_WIT_ED_CRIT_P
Fr529,Fr529_WIT_ED_CRIT_P
Fr530,Fr530_WIT_ED_CRIT_P
Fr531,Fr531_WIT_ED_CRIT_P
Fr532,Fr532_WIT_ED_CRIT_P
Fr533,Fr533_WIT_ED_CRIT_P
Fr534,Fr534_WIT_ED_CRIT_P
Fr535,Fr535_WIT_ED_CRIT_P
Fr536,Fr536_WIT_ED_CRIT_P
Fr537,Fr537_WIT_ED_CRIT_P
Fr538,Fr538_WIT_ED_CRIT_P
Fr539,Fr539_WIT_ED_CRIT_P
Fr540,Fr540_WIT_ED_CRIT_P
Fr541,Fr541_WIT_ED_CRIT_P
Fr542,Fr542_WIT_ED_CRIT_P
Fr543,Fr543_WIT_ED_CRIT_P
Fr544,Fr544_WIT_ED_CRIT_P
Fr545,Fr545_WIT_ED_CRIT_P
Fr546,Fr546_WIT_ED_CRIT_P
Fr547,Fr547_WIT_ED_CRIT_P
Fr548,Fr548_WIT_ED_CRIT_P
Fr549,Fr549_WIT_ED_CRIT_P
Fr550,Fr550_WIT_ED_CRIT_P
Fr551,Fr551_WIT_ED_CRIT_P
Fr552,Fr552_WIT_ED_CRIT_P
Fr553,Fr553_WIT_ED_CRIT_P
Fr554,Fr554_WIT_ED_CRIT_P
Fr555,Fr555_WIT_ED_CRIT_P
Fr556,Fr556_WIT_ED_CRIT_P
Fr557,Fr557_WIT_ED_CRIT_P
Fr558,Fr558_WIT_ED_CRIT_P
Fr559,Fr559_WIT_ED_CRIT_P
Fr560,Fr560_WIT_ED_CRIT_P
Fr561,Fr561_WIT_ED_CRIT_P
Fr562,Fr562_WIT_ED_CRIT_P
Fr563,Fr563_WIT_ED_CRIT_P
Fr564,Fr564_WIT_ED_CRIT_P
Fr565,Fr565_WIT_ED_CRIT_P
Fr566,Fr566_WIT_ED_CRIT_P
Fr567,Fr567_WIT_ED_CRIT_P
Fr568,Fr568_WIT_ED_CRIT_P
Fr569,Fr569_WIT_ED_CRIT_P
Fr570,Fr570_WIT_ED_CRIT_P
Fr571,Fr571_WIT_ED_CRIT_P
Fr572,Fr572_WIT_ED_CRIT_P
Fr573,Fr573_WIT_ED_CRIT_P
Fr574,Fr574_WIT_ED_CRIT_P
Fr575,Fr575_WIT_ED_CRIT_P
Fr576,Fr576_WIT_ED_CRIT_P
Fr577,Fr577_WIT_ED_CRIT_P
Fr578,Fr578_WIT_ED_CRIT_P
Fr579,Fr579_WIT_ED_CRIT_P
Fr580,Fr580_WIT_ED_CRIT_P
Fr581,Fr581_WIT_ED_CRIT_P
Fr582,Fr582_WIT_ED_CRIT_P
Fr583,Fr583_WIT_ED_CRIT_P
